date,Open,Low,High,Close,Volume
2021-10-28 12:15:00,457.58,457.2446,457.71,457.305,707763
2021-10-28 12:30:00,457.31,457.06,457.4,457.38,829999
2021-10-28 12:45:00,457.39,456.5,457.43,456.69,1484853
2021-10-28 13:00:00,456.72,456.68,457.14,456.96,797158
2021-10-28 13:15:00,456.96,456.73,457.09,457.05,570331
2021-10-28 13:30:00,457.06,457.0525,457.48,457.43,773329
2021-10-28 13:45:00,457.43,457.23,457.495,457.34,738029
2021-10-28 14:00:00,457.34,457.325,457.68,457.52,3483660
2021-10-28 14:15:00,457.52,457.48,457.87,457.78,2071110
2021-10-28 14:30:00,457.785,457.55,457.91,457.63,825920
2021-10-28 14:45:00,457.625,457.39,457.79,457.5,597067
2021-10-28 15:00:00,457.49,457.14,457.49,457.18,1496931
2021-10-28 15:15:00,457.17,457.0929,457.58,457.24,1509997
2021-10-28 15:30:00,457.23,457.1,457.74,457.25,2442057
2021-10-28 15:45:00,457.24,457.15,458.4,458.26,7517765
2021-10-29 09:30:00,455.87,455.56,457.16,457.08,3590661
2021-10-29 09:45:00,457.08,456.9292,457.64,457.12,2254311
2021-10-29 10:00:00,457.13,457.01,457.595,457.13,1580469
2021-10-29 10:15:00,457.15,456.57,457.28,456.74,3534627
2021-10-29 10:30:00,456.77,456.48,457.05,457.04,1627121
2021-10-29 10:45:00,457.041,457.01,457.57,457.32,2667642
2021-10-29 11:00:00,457.32,457.29,458.03,457.86,1505670
2021-10-29 11:15:00,457.86,457.76,458.21,458.06,1832180
2021-10-29 11:30:00,458.05,457.8337,458.48,457.92,1515293
2021-10-29 11:45:00,457.93,457.79,458.3199,458.06,1288874
2021-10-29 12:00:00,458.07,457.94,458.7699,458.58,1640333
2021-10-29 12:15:00,458.59,458.3496,459.165,459.14,3372081
2021-10-29 12:30:00,459.14,458.93,459.15,459.075,1060253
2021-10-29 12:45:00,459.08,458.65,459.08,458.73,927424
2021-10-29 13:00:00,458.74,458.675,458.98,458.93,850240
2021-10-29 13:15:00,458.94,458.82,459.13,458.85,1593513
2021-10-29 13:30:00,458.86,458.68,458.94,458.75,624519
2021-10-29 13:45:00,458.74,458.42,458.77,458.7,1088199
2021-10-29 14:00:00,458.7,458.54,458.78,458.59,1142944
2021-10-29 14:15:00,458.585,457.82,458.61,457.83,2095224
2021-10-29 14:30:00,457.84,457.73,458.3,458.255,2738033
2021-10-29 14:45:00,458.26,458.09,458.36,458.19,1674037
2021-10-29 15:00:00,458.205,457.97,458.35,458.109,1642737
2021-10-29 15:15:00,458.105,457.58,458.14,457.905,2454263
2021-10-29 15:30:00,457.9,457.79,458.7,458.58,3515918
2021-10-29 15:45:00,458.58,458.55,459.56,459.23,12057837
2021-11-01 09:30:00,460.3,459.74,460.7021,459.9,4645134
2021-11-01 09:45:00,459.9,459.14,460.12,459.27,3482127
2021-11-01 10:00:00,459.28,458.2,459.4,459.11,3455619
2021-11-01 10:15:00,459.13,458.7,459.385,459.04,1648438
2021-11-01 10:30:00,459.03,458.52,459.03,458.74,1852871
2021-11-01 10:45:00,458.73,458.26,459.0399,458.59,1359589
2021-11-01 11:00:00,458.58,458.52,459.22,458.85,1287953
2021-11-01 11:15:00,458.86,458.8299,459.44,459.23,1341565
2021-11-01 11:30:00,459.23,459.01,459.52,459.33,926129
2021-11-01 11:45:00,459.32,459.1,459.485,459.4701,711978
2021-11-01 12:00:00,459.49,459.37,459.72,459.61,1023096
2021-11-01 12:15:00,459.61,459.43,459.73,459.675,789851
2021-11-01 12:30:00,459.68,459.605,459.97,459.87,738045
2021-11-01 12:45:00,459.87,459.715,460.0,459.9675,681301
2021-11-01 13:00:00,459.97,459.73,460.02,459.81,1236999
2021-11-01 13:15:00,459.81,459.1,459.96,459.25,1300665
2021-11-01 13:30:00,459.26,458.79,459.39,458.79,871199
2021-11-01 13:45:00,458.79,458.675,459.0,458.83,717327
2021-11-01 14:00:00,458.81,458.42,458.93,458.48,1002429
2021-11-01 14:15:00,458.44,458.22,458.76,458.63,1133735
2021-11-01 14:30:00,458.61,458.61,459.14,459.13,978503
2021-11-01 14:45:00,459.13,459.04,459.32,459.2,775897
2021-11-01 15:00:00,459.2,459.07,459.34,459.32,812552
2021-11-01 15:15:00,459.32,458.96,459.54,459.39,1102954
2021-11-01 15:30:00,459.37,459.37,459.73,459.69,2832914
2021-11-01 15:45:00,459.68,459.46,460.23,460.1,5428649
2021-11-01 09:30:00,460.3,459.74,460.7021,459.9,4645134
2021-11-01 09:45:00,459.9,459.14,460.12,459.27,3482127
2021-11-01 10:00:00,459.28,458.2,459.4,459.11,3455619
2021-11-01 10:15:00,459.13,458.7,459.385,459.04,1648438
2021-11-01 10:30:00,459.03,458.52,459.03,458.74,1852871
2021-11-01 10:45:00,458.73,458.26,459.0399,458.59,1359589
2021-11-01 11:00:00,458.58,458.52,459.22,458.85,1287953
2021-11-01 11:15:00,458.86,458.8299,459.44,459.23,1341565
2021-11-01 11:30:00,459.23,459.01,459.52,459.33,926129
2021-11-01 11:45:00,459.32,459.1,459.485,459.4701,711978
2021-11-01 12:00:00,459.49,459.37,459.72,459.61,1023096
2021-11-01 12:15:00,459.61,459.43,459.73,459.675,789851
2021-11-01 12:30:00,459.68,459.605,459.97,459.87,738045
2021-11-01 12:45:00,459.87,459.715,460.0,459.9675,681301
2021-11-01 13:00:00,459.97,459.73,460.02,459.81,1236999
2021-11-01 13:15:00,459.81,459.1,459.96,459.25,1300665
2021-11-01 13:30:00,459.26,458.79,459.39,458.79,871199
2021-11-01 13:45:00,458.79,458.675,459.0,458.83,717327
2021-11-01 14:00:00,458.81,458.42,458.93,458.48,1002429
2021-11-01 14:15:00,458.44,458.22,458.76,458.63,1133735
2021-11-01 14:30:00,458.61,458.61,459.14,459.13,978503
2021-11-01 14:45:00,459.13,459.04,459.32,459.2,775897
2021-11-01 15:00:00,459.2,459.07,459.34,459.32,812552
2021-11-01 15:15:00,459.32,458.96,459.54,459.39,1102954
2021-11-01 15:30:00,459.37,459.37,459.73,459.69,2832914
2021-11-01 15:45:00,459.68,459.46,460.23,460.1,5428649
2021-11-02 09:30:00,460.22,460.08,460.91,460.76,2814860
2021-11-02 09:45:00,460.745,460.7,461.28,461.16,2422692
2021-11-02 10:00:00,461.17,460.73,461.43,460.85,1899887
2021-11-02 10:15:00,460.86,460.86,461.32,461.22,2188822
2021-11-02 10:30:00,461.22,461.08,461.4501,461.26,1703835
2021-11-02 10:45:00,461.28,461.18,461.73,461.59,1302287
2021-11-02 11:00:00,461.595,461.36,461.82,461.41,1394411
2021-11-02 11:15:00,461.415,461.26,461.82,461.79,1619942
2021-11-02 11:30:00,461.79,461.65,462.12,462.11,1271321
2021-11-02 11:45:00,462.11,461.37,462.23,461.413,1711645
2021-11-02 12:00:00,461.42,461.07,461.48,461.41,1194541
2021-11-02 12:15:00,461.405,461.335,461.77,461.69,1026047
2021-11-02 12:30:00,461.7,461.57,461.89,461.81,727665
2021-11-02 12:45:00,461.81,461.81,462.1,461.94,1350656
2021-11-02 13:00:00,461.95,461.76,462.06,462.0,667210
2021-11-02 13:15:00,462.0,461.55,462.02,461.55,872156
2021-11-02 13:30:00,461.56,461.305,461.76,461.76,1616493
2021-11-02 13:45:00,461.76,461.57,461.785,461.66,522091
2021-11-02 14:00:00,461.65,461.29,461.725,461.39,1323629
2021-11-02 14:15:00,461.4,461.2201,461.595,461.455,1279987
2021-11-02 14:30:00,461.45,461.32,461.76,461.72,1122472
2021-11-02 14:45:00,461.7201,461.685,461.93,461.91,1208317
2021-11-02 15:00:00,461.9,461.76,462.0,461.8,939754
2021-11-02 15:15:00,461.81,461.52,461.87,461.805,1324721
2021-11-02 15:30:00,461.8,461.5,461.85,461.83,1363831
2021-11-02 15:45:00,461.82,461.37,462.04,461.87,6675800
2021-11-03 09:30:00,461.3,460.8338,461.58,461.27,2621488
2021-11-03 09:45:00,461.29,461.12,461.54,461.39,1448308
2021-11-03 10:00:00,461.47,460.83,461.67,461.195,1716243
2021-11-03 10:15:00,461.18,460.94,461.28,461.26,935007
2021-11-03 10:30:00,461.25,461.08,461.42,461.39,885929
2021-11-03 10:45:00,461.4,461.29,461.56,461.45,865879
2021-11-03 11:00:00,461.45,461.11,461.495,461.25,658461
2021-11-03 11:15:00,461.24,461.15,461.43,461.185,758294
2021-11-03 11:30:00,461.19,461.04,461.32,461.23,437928
2021-11-03 11:45:00,461.22,461.13,461.5,461.4201,727373
2021-11-03 12:00:00,461.426,461.33,461.53,461.45,485387
2021-11-03 12:15:00,461.46,461.2,461.48,461.37,545248
2021-11-03 12:30:00,461.38,461.29,461.51,461.36,489338
2021-11-03 12:45:00,461.37,461.2,461.405,461.31,394991
2021-11-03 13:00:00,461.305,461.12,461.31,461.24,419505
2021-11-03 13:15:00,461.25,461.07,461.295,461.295,451700
2021-11-03 13:30:00,461.29,461.255,461.4196,461.36,558604
2021-11-03 13:45:00,461.365,460.96,461.37,461.135,1179695
2021-11-03 14:00:00,461.13,460.86,462.72,461.81,5054027
2021-11-03 14:15:00,461.84,461.67,462.6,462.35,1806219
2021-11-03 14:30:00,462.363,462.04,463.02,462.9,2568525
2021-11-03 14:45:00,462.92,462.9,464.23,463.94,3883124
2021-11-03 15:00:00,463.92,463.72,464.43,464.26,2450093
2021-11-03 15:15:00,464.26,463.93,464.35,464.2318,2190742
2021-11-03 15:30:00,464.24,464.13,464.727,464.7,3416892
2021-11-03 15:45:00,464.7,464.57,465.15,464.74,7886224
2021-11-04 09:30:00,465.36,464.99,465.76,465.68,3447282
2021-11-04 09:45:00,465.67,465.62,466.56,466.35,2627033
2021-11-04 10:00:00,466.355,466.22,466.85,466.82,1495435
2021-11-04 10:15:00,466.849,466.54,466.995,466.66,1711410
2021-11-04 10:30:00,466.68,466.66,466.959,466.78,2005604
2021-11-04 10:45:00,466.8,466.42,467.0,466.5,1755647
2021-11-04 11:00:00,466.5,466.085,466.5,466.105,1621659
2021-11-04 11:15:00,466.1,465.25,466.15,465.33,1892318
2021-11-04 11:30:00,465.335,465.17,465.76,465.75,1722250
2021-11-04 11:45:00,465.75,465.3001,466.25,466.23,1577277
2021-11-04 12:00:00,466.24,466.15,466.49,466.48,1211790
2021-11-04 12:15:00,466.46,465.77,466.49,465.95,940813
2021-11-04 12:30:00,465.96,465.693,466.065,465.9835,754146
2021-11-04 12:45:00,465.97,465.775,466.05,465.925,646171
2021-11-04 13:00:00,465.93,465.5,466.05,465.99,1232592
2021-11-04 13:15:00,465.99,465.8,466.09,466.08,861212
2021-11-04 13:30:00,466.08,465.7726,466.2867,466.28,3288659
2021-11-04 13:45:00,466.28,466.095,466.405,466.3,814419
2021-11-04 14:00:00,466.3,465.6,466.355,466.105,1317664
2021-11-04 14:15:00,466.1,465.77,466.22,466.06,976963
2021-11-04 14:30:00,466.06,465.88,466.18,466.16,793663
2021-11-04 14:45:00,466.1574,465.77,466.28,465.79,1429687
2021-11-04 15:00:00,465.76,465.54,465.96,465.91,1333359
2021-11-04 15:15:00,465.915,465.75,466.18,465.98,1367125
2021-11-04 15:30:00,465.99,465.58,466.23,465.81,1832441
2021-11-04 15:45:00,465.815,465.73,466.91,466.88,7084115
2021-11-05 09:30:00,469.28,469.0,470.33,470.32,4669523
2021-11-05 09:45:00,470.335,469.79,470.41,470.26,3180641
2021-11-05 10:00:00,470.26,470.03,470.65,470.32,2392080
2021-11-05 10:15:00,470.33,469.81,470.48,469.97,2566861
2021-11-05 10:30:00,469.97,469.94,470.3,470.18,1753992
2021-11-05 10:45:00,470.19,469.92,470.365,470.13,1284739
2021-11-05 11:00:00,470.13,470.0,470.31,470.13,1007261
2021-11-05 11:15:00,470.14,469.57,470.1401,469.61,1287744
2021-11-05 11:30:00,469.6,469.57,469.93,469.72,1660594
2021-11-05 11:45:00,469.715,469.31,470.06,469.32,1890318
2021-11-05 12:00:00,469.31,469.24,469.63,469.385,1937008
2021-11-05 12:15:00,469.39,469.3001,469.57,469.5,1862742
2021-11-05 12:30:00,469.49,469.19,469.67,469.1962,1420426
2021-11-05 12:45:00,469.19,468.76,469.23,468.92,1366439
2021-11-05 13:00:00,468.93,468.12,469.11,468.26,1409299
2021-11-05 13:15:00,468.24,466.92,468.42,466.93,2452373
2021-11-05 13:30:00,466.93,466.92,467.98,467.51,2290061
2021-11-05 13:45:00,467.5074,467.14,468.22,468.17,1958024
2021-11-05 14:00:00,468.18,467.98,468.69,468.63,2384003
2021-11-05 14:15:00,468.62,468.155,468.74,468.64,1186709
2021-11-05 14:30:00,468.64,468.29,468.6996,468.59,1054478
2021-11-05 14:45:00,468.58,468.52,468.81,468.68,828180
2021-11-05 15:00:00,468.68,467.98,468.79,468.605,1674337
2021-11-05 15:15:00,468.61,468.07,468.64,468.2699,1287410
2021-11-05 15:30:00,468.26,468.165,469.16,468.54,3021245
2021-11-05 15:45:00,468.53,468.2424,468.8212,468.49,8248186
2021-11-08 09:30:00,469.7,469.27,470.23,469.58,3294752
2021-11-08 09:45:00,469.6,469.03,469.81,469.45,1834980
2021-11-08 10:00:00,469.45,468.8675,469.51,469.32,1473019
2021-11-08 10:15:00,469.32,469.31,469.78,469.3813,1846142
2021-11-08 10:30:00,469.37,468.655,469.7,469.01,1828919
2021-11-08 10:45:00,469.01,468.93,469.49,469.055,1087876
2021-11-08 11:00:00,469.05,468.6986,469.29,468.72,1039327
2021-11-08 11:15:00,468.72,468.64,469.34,469.23,870247
2021-11-08 11:30:00,469.23,468.8399,469.35,468.86,1196962
2021-11-08 11:45:00,468.84,468.51,468.98,468.65,835452
2021-11-08 12:00:00,468.65,468.2031,468.75,468.34,1030697
2021-11-08 12:15:00,468.33,468.23,468.6801,468.6,703734
2021-11-08 12:30:00,468.605,468.38,468.79,468.593,1022756
2021-11-08 12:45:00,468.6,468.23,468.705,468.61,958134
2021-11-08 13:00:00,468.61,468.44,468.925,468.76,1189978
